panel_id,parent_drawing_key,split,phase,split_method,model_review_label,human_review_label,original_quality_flags,variant,variant_endpoint_tolerance,variant_endpoint_tolerance_ratio,status,error,original_nodes,original_edges,original_nets,original_isolated_edge_ratio,original_largest_net_edge_ratio,new_nodes,new_edges,new_nets,new_isolated_edge_ratio,new_largest_net_edge_ratio,edge_delta,node_delta,net_delta,no_edge_recovered,fragmentation_reduced,dominant_component_improved,candidate_improved,still_empty,overmerge_warning,new_quality_flags,new_topology_v1_1_json_path,best_for_panel
_P1_staging/05电气主接线#panel_001,_P1_staging/05电气主接线,train,P1,image_components,still_fragmented,still_fragmented,no_edges;no_nets,baseline_0005_cap1,1.0,0.0005,ok,,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,False,False,False,False,True,False,no_edges;no_nets,outputs/topology_panel_v1_1_still_fragmented/baseline_0005_cap1/_P1_staging/05电气主接线#panel_001.topology.v1.json,_P1_staging/05电气主接线#panel_001
_P2_staging/电站、变电所电气及设备13#panel_002,_P2_staging/电站、变电所电气及设备13,train,P2,image_components,not_topology_target,still_fragmented,no_edges;no_nets,baseline_0005_cap1,1.0,0.0005,ok,,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,False,False,False,False,True,False,no_edges;no_nets,outputs/topology_panel_v1_1_still_fragmented/baseline_0005_cap1/_P2_staging/电站、变电所电气及设备13#panel_002.topology.v1.json,_P2_staging/电站、变电所电气及设备13#panel_002
_P2_staging/电站、变电所电气及设备13#panel_003,_P2_staging/电站、变电所电气及设备13,train,P2,image_components,not_topology_target,still_fragmented,no_edges;no_nets,baseline_0005_cap1,1.0,0.0005,ok,,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,False,False,False,False,True,False,no_edges;no_nets,outputs/topology_panel_v1_1_still_fragmented/baseline_0005_cap1/_P2_staging/电站、变电所电气及设备13#panel_003.topology.v1.json,_P2_staging/电站、变电所电气及设备13#panel_003
_P2_staging/电站、变电所电气及设备13#panel_004,_P2_staging/电站、变电所电气及设备13,train,P2,image_components,not_topology_target,still_fragmented,no_edges;no_nets,baseline_0005_cap1,1.0,0.0005,ok,,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,False,False,False,False,True,False,no_edges;no_nets,outputs/topology_panel_v1_1_still_fragmented/baseline_0005_cap1/_P2_staging/电站、变电所电气及设备13#panel_004.topology.v1.json,_P2_staging/电站、变电所电气及设备13#panel_004
_P2_staging/电站、变电所电气及设备13#panel_005,_P2_staging/电站、变电所电气及设备13,train,P2,image_components,not_topology_target,still_fragmented,no_edges;no_nets,baseline_0005_cap1,1.0,0.0005,ok,,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,False,False,False,False,True,False,no_edges;no_nets,outputs/topology_panel_v1_1_still_fragmented/baseline_0005_cap1/_P2_staging/电站、变电所电气及设备13#panel_005.topology.v1.json,_P2_staging/电站、变电所电气及设备13#panel_005
_P2_staging/电站、变电所电气及设备13#panel_007,_P2_staging/电站、变电所电气及设备13,train,P2,image_components,needs_panel_split,still_fragmented,no_edges;no_nets,baseline_0005_cap1,1.0,0.0005,ok,,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,False,False,False,False,True,False,no_edges;no_nets,outputs/topology_panel_v1_1_still_fragmented/baseline_0005_cap1/_P2_staging/电站、变电所电气及设备13#panel_007.topology.v1.json,_P2_staging/电站、变电所电气及设备13#panel_007
_P3_staging_batch1/铁路配电所有载调压保护#panel_002,_P3_staging_batch1/铁路配电所有载调压保护,train,P3,image_components,still_fragmented,still_fragmented,no_edges;no_nets,baseline_0005_cap1,1.0,0.0005,ok,,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,False,False,False,False,True,False,no_edges;no_nets,outputs/topology_panel_v1_1_still_fragmented/baseline_0005_cap1/_P3_staging_batch1/铁路配电所有载调压保护#panel_002.topology.v1.json,_P3_staging_batch1/铁路配电所有载调压保护#panel_002
_P3_staging_batch1/高压异步电机保护二次原理图#panel_004,_P3_staging_batch1/高压异步电机保护二次原理图,train,P3,image_components,still_fragmented,still_fragmented,no_edges;no_nets,baseline_0005_cap1,1.0,0.0005,ok,,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,False,False,False,False,True,False,no_edges;no_nets,outputs/topology_panel_v1_1_still_fragmented/baseline_0005_cap1/_P3_staging_batch1/高压异步电机保护二次原理图#panel_004.topology.v1.json,_P3_staging_batch1/高压异步电机保护二次原理图#panel_004
_P3_staging_batch1/高压异步电机保护二次原理图#panel_006,_P3_staging_batch1/高压异步电机保护二次原理图,train,P3,image_components,still_fragmented,still_fragmented,no_edges;no_nets,baseline_0005_cap1,1.0,0.0005,ok,,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,False,False,False,False,True,False,no_edges;no_nets,outputs/topology_panel_v1_1_still_fragmented/baseline_0005_cap1/_P3_staging_batch1/高压异步电机保护二次原理图#panel_006.topology.v1.json,_P3_staging_batch1/高压异步电机保护二次原理图#panel_006
_P3_staging_batch2/发-变组保护测量配置图#panel_002,_P3_staging_batch2/发-变组保护测量配置图,test,P3,image_components,still_fragmented,still_fragmented,no_edges;no_nets,baseline_0005_cap1,1.0,0.0005,ok,,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,False,False,False,False,True,False,no_edges;no_nets,outputs/topology_panel_v1_1_still_fragmented/baseline_0005_cap1/_P3_staging_batch2/发-变组保护测量配置图#panel_002.topology.v1.json,_P3_staging_batch2/发-变组保护测量配置图#panel_002
_P3_staging_batch4/某学校系统图及接线图#panel_000,_P3_staging_batch4/某学校系统图及接线图,train,P3,image_components,still_fragmented,still_fragmented,no_edges;no_nets,baseline_0005_cap1,1.0,0.0005,ok,,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,False,False,False,False,True,False,no_edges;no_nets,outputs/topology_panel_v1_1_still_fragmented/baseline_0005_cap1/_P3_staging_batch4/某学校系统图及接线图#panel_000.topology.v1.json,_P3_staging_batch4/某学校系统图及接线图#panel_000
_P3_staging_batch2/10kV-中置柜进线电气图纸#panel_000,_P3_staging_batch2/10kV-中置柜进线电气图纸,train,P3,full,still_fragmented,still_fragmented,high_fragmentation,merge_0010_cap2,2.0,0.001,ok,,31411,34885,2901,0.0078,0.0441,31402,34877,2901,0.0078,0.0442,-8,-9,0,False,False,False,False,False,False,high_fragmentation,outputs/topology_panel_v1_1_still_fragmented/merge_0010_cap2/_P3_staging_batch2/10kV-中置柜进线电气图纸#panel_000.topology.v1.json,_P3_staging_batch2/10kV-中置柜进线电气图纸#panel_000
_P2_staging/某煤矿变电所电气系统图wm666.taobao.com#panel_000,_P2_staging/某煤矿变电所电气系统图wm666.taobao.com,val,P2,full,still_fragmented,still_fragmented,high_fragmentation,merge_0020_cap5,5.0,0.002,ok,,28036,26128,3501,0.0435,0.0243,23397,22024,3112,0.0431,0.0282,-4104,-4639,-389,False,False,False,False,False,False,high_fragmentation,outputs/topology_panel_v1_1_still_fragmented/merge_0020_cap5/_P2_staging/某煤矿变电所电气系统图wm666.taobao.com#panel_000.topology.v1.json,_P2_staging/某煤矿变电所电气系统图wm666.taobao.com#panel_000
_P3_staging_batch1/高压异步电机保护二次原理图#panel_007,_P3_staging_batch1/高压异步电机保护二次原理图,train,P3,image_components,still_fragmented,still_fragmented,high_isolated_ratio,baseline_0005_cap1,1.0,0.0005,ok,,9,5,4,0.6,0.4,9,5,4,0.6,0.4,0,0,0,False,False,False,False,False,False,high_isolated_ratio,outputs/topology_panel_v1_1_still_fragmented/baseline_0005_cap1/_P3_staging_batch1/高压异步电机保护二次原理图#panel_007.topology.v1.json,_P3_staging_batch1/高压异步电机保护二次原理图#panel_007
_P3_staging_batch4/某学校系统图及接线图#panel_004,_P3_staging_batch4/某学校系统图及接线图,train,P3,image_components,still_fragmented,still_fragmented,high_isolated_ratio,baseline_0005_cap1,1.0,0.0005,ok,,9,5,4,0.6,0.4,9,5,4,0.6,0.4,0,0,0,False,False,False,False,False,False,high_isolated_ratio,outputs/topology_panel_v1_1_still_fragmented/baseline_0005_cap1/_P3_staging_batch4/某学校系统图及接线图#panel_004.topology.v1.json,_P3_staging_batch4/某学校系统图及接线图#panel_004
_P1_staging/某铁路牵引变电所主接线图wm666.taobao.com#panel_000,_P1_staging/某铁路牵引变电所主接线图wm666.taobao.com,train,P1,full,still_fragmented,still_fragmented,high_isolated_ratio,baseline_0005_cap1,1.0,0.0005,ok,,8,4,4,1.0,0.25,8,4,4,1.0,0.25,0,0,0,False,False,False,False,False,False,high_isolated_ratio,outputs/topology_panel_v1_1_still_fragmented/baseline_0005_cap1/_P1_staging/某铁路牵引变电所主接线图wm666.taobao.com#panel_000.topology.v1.json,_P1_staging/某铁路牵引变电所主接线图wm666.taobao.com#panel_000
_P3_staging_batch1/高压异步电机保护二次原理图#panel_005,_P3_staging_batch1/高压异步电机保护二次原理图,train,P3,image_components,still_fragmented,still_fragmented,high_isolated_ratio,baseline_0005_cap1,1.0,0.0005,ok,,8,4,4,1.0,0.25,8,4,4,1.0,0.25,0,0,0,False,False,False,False,False,False,high_isolated_ratio,outputs/topology_panel_v1_1_still_fragmented/baseline_0005_cap1/_P3_staging_batch1/高压异步电机保护二次原理图#panel_005.topology.v1.json,_P3_staging_batch1/高压异步电机保护二次原理图#panel_005
_P3_staging_batch4/某学校系统图及接线图#panel_002,_P3_staging_batch4/某学校系统图及接线图,train,P3,image_components,still_fragmented,still_fragmented,high_isolated_ratio,baseline_0005_cap1,1.0,0.0005,ok,,6,3,3,1.0,0.3333,6,3,3,1.0,0.3333,0,0,0,False,False,False,False,False,False,high_isolated_ratio,outputs/topology_panel_v1_1_still_fragmented/baseline_0005_cap1/_P3_staging_batch4/某学校系统图及接线图#panel_002.topology.v1.json,_P3_staging_batch4/某学校系统图及接线图#panel_002
_P3_staging_batch4/某学校系统图及接线图#panel_003,_P3_staging_batch4/某学校系统图及接线图,train,P3,image_components,still_fragmented,still_fragmented,high_isolated_ratio,baseline_0005_cap1,1.0,0.0005,ok,,4,2,2,1.0,0.5,4,2,2,1.0,0.5,0,0,0,False,False,False,False,False,False,high_isolated_ratio,outputs/topology_panel_v1_1_still_fragmented/baseline_0005_cap1/_P3_staging_batch4/某学校系统图及接线图#panel_003.topology.v1.json,_P3_staging_batch4/某学校系统图及接线图#panel_003
